product_id,name,color,category,price,available_sizes,stock_XS,stock_S,stock_M,stock_L,stock_XL,stock_XXL,stock_5,stock_6,stock_7,stock_8,stock_9,stock_10,stock_11,stock_12,stock_13,stock_One_Size
C_P053,Hoodie,White,Clothing,58.02,"XS,S,M,L,XL,XXL",17.0,13.0,5.0,3.0,17.0,22.0,,,,,,,,,,
C_P054,Hoodie,Black,Clothing,58.02,"XS,S,M,L,XL,XXL",21.0,6.0,5.0,20.0,9.0,19.0,,,,,,,,,,
C_P055,Hoodie,Green,Clothing,58.02,"XS,S,M,L,XL,XXL",11.0,7.0,14.0,5.0,10.0,14.0,,,,,,,,,,
C_P056,Hoodie,Yellow,Clothing,58.02,"XS,S,M,L,XL,XXL",12.0,8.0,17.0,20.0,25.0,12.0,,,,,,,,,,
C_P057,Hoodie,Pink,Clothing,58.02,"XS,S,M,L,XL,XXL",22.0,23.0,19.0,3.0,24.0,20.0,,,,,,,,,,
C_P058,Hoodie,Purple,Clothing,58.02,"XS,S,M,L,XL,XXL",12.0,24.0,6.0,7.0,11.0,6.0,,,,,,,,,,
C_P059,Hoodie,Gray,Clothing,58.02,"XS,S,M,L,XL,XXL",6.0,20.0,7.0,11.0,12.0,22.0,,,,,,,,,,
C_P060,Hoodie,Orange,Clothing,58.02,"XS,S,M,L,XL,XXL",9.0,25.0,13.0,9.0,24.0,23.0,,,,,,,,,,
C_P061,Jacket,Blue,Clothing,72.67,"XS,S,M,L,XL,XXL",11.0,19.0,18.0,11.0,4.0,5.0,,,,,,,,,,
C_P062,Jacket,Red,Clothing,72.67,"XS,S,M,L,XL,XXL",23.0,16.0,11.0,4.0,3.0,13.0,,,,,,,,,,
C_P063,Jacket,White,Clothing,72.67,"XS,S,M,L,XL,XXL",7.0,23.0,11.0,8.0,17.0,20.0,,,,,,,,,,
C_P064,Jacket,Black,Clothing,72.67,"XS,S,M,L,XL,XXL",25.0,16.0,20.0,3.0,6.0,5.0,,,,,,,,,,
C_P065,Jacket,Green,Clothing,72.67,"XS,S,M,L,XL,XXL",25.0,7.0,20.0,4.0,14.0,21.0,,,,,,,,,,
C_P066,Jacket,Yellow,Clothing,72.67,"XS,S,M,L,XL,XXL",20.0,7.0,16.0,7.0,4.0,12.0,,,,,,,,,,
C_P067,Jacket,Pink,Clothing,72.67,"XS,S,M,L,XL,XXL",14.0,4.0,14.0,9.0,24.0,10.0,,,,,,,,,,
C_P068,Jacket,Purple,Clothing,72.67,"XS,S,M,L,XL,XXL",24.0,6.0,14.0,20.0,16.0,22.0,,,,,,,,,,
C_P069,Jacket,Gray,Clothing,72.67,"XS,S,M,L,XL,XXL",7.0,10.0,8.0,8.0,16.0,3.0,,,,,,,,,,
C_P070,Jacket,Orange,Clothing,72.67,"XS,S,M,L,XL,XXL",8.0,13.0,16.0,24.0,10.0,11.0,,,,,,,,,,
C_P071,Blouse,Blue,Clothing,17.91,"XS,S,M,L,XL,XXL",8.0,25.0,6.0,15.0,4.0,18.0,,,,,,,,,,
C_P072,Blouse,Red,Clothing,17.91,"XS,S,M,L,XL,XXL",10.0,9.0,17.0,14.0,12.0,10.0,,,,,,,,,,
C_P073,Blouse,White,Clothing,17.91,"XS,S,M,L,XL,XXL",10.0,3.0,24.0,9.0,15.0,13.0,,,,,,,,,,
C_P074,Blouse,Black,Clothing,17.91,"XS,S,M,L,XL,XXL",11.0,5.0,11.0,14.0,23.0,19.0,,,,,,,,,,
C_P075,Blouse,Green,Clothing,17.91,"XS,S,M,L,XL,XXL",15.0,24.0,20.0,13.0,3.0,6.0,,,,,,,,,,
C_P076,Blouse,Yellow,Clothing,17.91,"XS,S,M,L,XL,XXL",11.0,8.0,21.0,11.0,4.0,6.0,,,,,,,,,,
C_P077,Blouse,Pink,Clothing,17.91,"XS,S,M,L,XL,XXL",22.0,16.0,14.0,13.0,16.0,22.0,,,,,,,,,,
C_P078,Blouse,Purple,Clothing,17.91,"XS,S,M,L,XL,XXL",19.0,6.0,15.0,21.0,9.0,11.0,,,,,,,,,,
C_P079,Blouse,Gray,Clothing,17.91,"XS,S,M,L,XL,XXL",4.0,25.0,16.0,3.0,19.0,20.0,,,,,,,,,,
C_P080,Blouse,Orange,Clothing,17.91,"XS,S,M,L,XL,XXL",24.0,24.0,9.0,14.0,16.0,5.0,,,,,,,,,,
C_P081,Tank Top,Blue,Clothing,40.69,"XS,S,M,L,XL,XXL",24.0,13.0,22.0,13.0,24.0,6.0,,,,,,,,,,
C_P082,Tank Top,Red,Clothing,40.69,"XS,S,M,L,XL,XXL",12.0,19.0,12.0,24.0,16.0,13.0,,,,,,,,,,
C_P083,Tank Top,White,Clothing,40.69,"XS,S,M,L,XL,XXL",15.0,25.0,12.0,20.0,7.0,9.0,,,,,,,,,,
C_P084,Tank Top,Black,Clothing,40.69,"XS,S,M,L,XL,XXL",16.0,24.0,15.0,24.0,8.0,22.0,,,,,,,,,,
C_P085,Tank Top,Green,Clothing,40.69,"XS,S,M,L,XL,XXL",21.0,12.0,15.0,20.0,3.0,12.0,,,,,,,,,,
C_P086,Tank Top,Yellow,Clothing,40.69,"XS,S,M,L,XL,XXL",12.0,9.0,16.0,21.0,22.0,23.0,,,,,,,,,,
C_P087,Tank Top,Pink,Clothing,40.69,"XS,S,M,L,XL,XXL",13.0,17.0,17.0,17.0,24.0,9.0,,,,,,,,,,
C_P088,Tank Top,Purple,Clothing,40.69,"XS,S,M,L,XL,XXL",19.0,18.0,8.0,24.0,5.0,12.0,,,,,,,,,,
C_P089,Tank Top,Gray,Clothing,40.69,"XS,S,M,L,XL,XXL",19.0,24.0,23.0,22.0,13.0,5.0,,,,,,,,,,
C_P090,Tank Top,Orange,Clothing,40.69,"XS,S,M,L,XL,XXL",10.0,24.0,12.0,10.0,9.0,7.0,,,,,,,,,,
C_P091,Long Sleeve Shirt,Blue,Clothing,14.03,"XS,S,M,L,XL,XXL",3.0,4.0,10.0,18.0,22.0,5.0,,,,,,,,,,
C_P092,Long Sleeve Shirt,Red,Clothing,14.03,"XS,S,M,L,XL,XXL",17.0,16.0,23.0,21.0,9.0,25.0,,,,,,,,,,
C_P093,Long Sleeve Shirt,White,Clothing,14.03,"XS,S,M,L,XL,XXL",25.0,15.0,18.0,15.0,10.0,7.0,,,,,,,,,,
C_P094,Long Sleeve Shirt,Black,Clothing,14.03,"XS,S,M,L,XL,XXL",23.0,25.0,3.0,6.0,16.0,10.0,,,,,,,,,,
C_P095,Long Sleeve Shirt,Green,Clothing,14.03,"XS,S,M,L,XL,XXL",8.0,25.0,19.0,17.0,4.0,20.0,,,,,,,,,,
C_P096,Long Sleeve Shirt,Yellow,Clothing,14.03,"XS,S,M,L,XL,XXL",10.0,6.0,17.0,7.0,17.0,24.0,,,,,,,,,,
C_P097,Long Sleeve Shirt,Pink,Clothing,14.03,"XS,S,M,L,XL,XXL",19.0,20.0,22.0,13.0,17.0,22.0,,,,,,,,,,
C_P098,Long Sleeve Shirt,Purple,Clothing,14.03,"XS,S,M,L,XL,XXL",19.0,16.0,20.0,17.0,8.0,18.0,,,,,,,,,,
C_P099,Long Sleeve Shirt,Gray,Clothing,14.03,"XS,S,M,L,XL,XXL",17.0,11.0,10.0,23.0,11.0,19.0,,,,,,,,,,
C_P100,Long Sleeve Shirt,Orange,Clothing,14.03,"XS,S,M,L,XL,XXL",18.0,23.0,10.0,11.0,17.0,5.0,,,,,,,,,,
S_P101,Running Sneakers,Black,Shoes,52.33,"5,6,7,8,9,10,11,12,13",,,,,,,25.0,12.0,10.0,11.0,13.0,13.0,20.0,5.0,7.0,
S_P102,Running Sneakers,White,Shoes,52.33,"5,6,7,8,9,10,11,12,13",,,,,,,7.0,10.0,15.0,25.0,7.0,25.0,9.0,5.0,16.0,
S_P103,Running Sneakers,Blue,Shoes,52.33,"5,6,7,8,9,10,11,12,13",,,,,,,16.0,13.0,20.0,17.0,16.0,4.0,9.0,16.0,15.0,
S_P104,Running Sneakers,Brown,Shoes,52.33,"5,6,7,8,9,10,11,12,13",,,,,,,21.0,25.0,3.0,21.0,15.0,18.0,3.0,14.0,12.0,
S_P105,Running Sneakers,Red,Shoes,52.33,"5,6,7,8,9,10,11,12,13",,,,,,,15.0,16.0,20.0,20.0,22.0,10.0,18.0,10.0,11.0,
S_P106,Running Sneakers,Gray,Shoes,52.33,"5,6,7,8,9,10,11,12,13",,,,,,,16.0,18.0,3.0,15.0,13.0,24.0,24.0,15.0,8.0,
S_P107,Running Sneakers,Navy,Shoes,52.33,"5,6,7,8,9,10,11,12,13",,,,,,,17.0,7.0,22.0,20.0,3.0,15.0,21.0,21.0,24.0,
S_P108,Running Sneakers,Beige,Shoes,52.33,"5,6,7,8,9,10,11,12,13",,,,,,,3.0,5.0,23.0,16.0,7.0,17.0,8.0,4.0,11.0,
S_P109,Casual Loafers,Black,Shoes,88.17,"5,6,7,8,9,10,11,12,13",,,,,,,15.0,13.0,9.0,17.0,13.0,13.0,15.0,11.0,16.0,
S_P110,Casual Loafers,White,Shoes,88.17,"5,6,7,8,9,10,11,12,13",,,,,,,11.0,5.0,18.0,3.0,20.0,4.0,14.0,10.0,23.0,
S_P111,Casual Loafers,Blue,Shoes,88.17,"5,6,7,8,9,10,11,12,13",,,,,,,5.0,23.0,4.0,3.0,10.0,9.0,3.0,22.0,7.0,
S_P112,Casual Loafers,Brown,Shoes,88.17,"5,6,7,8,9,10,11,12,13",,,,,,,10.0,7.0,18.0,24.0,6.0,21.0,9.0,17.0,25.0,
S_P113,Casual Loafers,Red,Shoes,88.17,"5,6,7,8,9,10,11,12,13",,,,,,,11.0,14.0,8.0,22.0,22.0,25.0,6.0,8.0,12.0,
S_P114,Casual Loafers,Gray,Shoes,88.17,"5,6,7,8,9,10,11,12,13",,,,,,,6.0,21.0,3.0,12.0,21.0,24.0,15.0,15.0,25.0,
S_P115,Casual Loafers,Navy,Shoes,88.17,"5,6,7,8,9,10,11,12,13",,,,,,,9.0,5.0,21.0,25.0,23.0,10.0,6.0,25.0,12.0,
S_P116,Casual Loafers,Beige,Shoes,88.17,"5,6,7,8,9,10,11,12,13",,,,,,,24.0,22.0,6.0,21.0,4.0,14.0,20.0,16.0,24.0,
S_P117,Flip Flops,Black,Shoes,28.32,"5,6,7,8,9,10,11,12,13",,,,,,,14.0,5.0,19.0,23.0,13.0,3.0,16.0,18.0,6.0,
S_P118,Flip Flops,White,Shoes,28.32,"5,6,7,8,9,10,11,12,13",,,,,,,16.0,14.0,23.0,17.0,25.0,7.0,16.0,8.0,19.0,
S_P119,Flip Flops,Blue,Shoes,28.32,"5,6,7,8,9,10,11,12,13",,,,,,,23.0,11.0,22.0,20.0,18.0,17.0,16.0,21.0,11.0,
S_P120,Flip Flops,Brown,Shoes,28.32,"5,6,7,8,9,10,11,12,13",,,,,,,13.0,10.0,5.0,11.0,17.0,10.0,17.0,21.0,22.0,
S_P121,Flip Flops,Red,Shoes,28.32,"5,6,7,8,9,10,11,12,13",,,,,,,24.0,15.0,13.0,3.0,18.0,13.0,8.0,18.0,9.0,
S_P122,Flip Flops,Gray,Shoes,28.32,"5,6,7,8,9,10,11,12,13",,,,,,,14.0,11.0,13.0,11.0,22.0,25.0,11.0,20.0,3.0,
S_P123,Flip Flops,Navy,Shoes,28.32,"5,6,7,8,9,10,11,12,13",,,,,,,19.0,9.0,5.0,10.0,16.0,18.0,20.0,10.0,25.0,
S_P124,Flip Flops,Beige,Shoes,28.32,"5,6,7,8,9,10,11,12,13",,,,,,,18.0,23.0,25.0,18.0,17.0,3.0,5.0,12.0,10.0,
S_P125,Basketball Shoes,Black,Shoes,49.85,"5,6,7,8,9,10,11,12,13",,,,,,,15.0,25.0,10.0,12.0,24.0,21.0,14.0,18.0,20.0,
S_P126,Basketball Shoes,White,Shoes,49.85,"5,6,7,8,9,10,11,12,13",,,,,,,19.0,14.0,16.0,20.0,13.0,14.0,25.0,17.0,11.0,
S_P127,Basketball Shoes,Blue,Shoes,49.85,"5,6,7,8,9,10,11,12,13",,,,,,,12.0,11.0,10.0,6.0,9.0,13.0,6.0,20.0,25.0,
S_P128,Basketball Shoes,Brown,Shoes,49.85,"5,6,7,8,9,10,11,12,13",,,,,,,8.0,9.0,9.0,18.0,11.0,21.0,19.0,22.0,12.0,
S_P129,Basketball Shoes,Red,Shoes,49.85,"5,6,7,8,9,10,11,12,13",,,,,,,6.0,9.0,12.0,10.0,14.0,8.0,12.0,3.0,25.0,
S_P130,Basketball Shoes,Gray,Shoes,49.85,"5,6,7,8,9,10,11,12,13",,,,,,,20.0,7.0,11.0,4.0,4.0,20.0,12.0,25.0,7.0,
S_P131,Basketball Shoes,Navy,Shoes,49.85,"5,6,7,8,9,10,11,12,13",,,,,,,23.0,18.0,6.0,3.0,21.0,12.0,18.0,18.0,17.0,
S_P132,Basketball Shoes,Beige,Shoes,49.85,"5,6,7,8,9,10,11,12,13",,,,,,,13.0,8.0,4.0,11.0,18.0,6.0,5.0,15.0,18.0,
S_P133,Hiking Boots,Black,Shoes,106.24,"5,6,7,8,9,10,11,12,13",,,,,,,5.0,21.0,23.0,24.0,4.0,7.0,7.0,21.0,12.0,
S_P134,Hiking Boots,White,Shoes,106.24,"5,6,7,8,9,10,11,12,13",,,,,,,5.0,10.0,6.0,20.0,16.0,22.0,22.0,22.0,10.0,
S_P135,Hiking Boots,Blue,Shoes,106.24,"5,6,7,8,9,10,11,12,13",,,,,,,19.0,15.0,17.0,17.0,12.0,21.0,16.0,12.0,21.0,
S_P136,Hiking Boots,Brown,Shoes,106.24,"5,6,7,8,9,10,11,12,13",,,,,,,22.0,4.0,22.0,6.0,9.0,23.0,9.0,11.0,24.0,
S_P137,Hiking Boots,Red,Shoes,106.24,"5,6,7,8,9,10,11,12,13",,,,,,,5.0,8.0,10.0,8.0,20.0,5.0,8.0,3.0,16.0,
S_P138,Hiking Boots,Gray,Shoes,106.24,"5,6,7,8,9,10,11,12,13",,,,,,,17.0,25.0,22.0,18.0,12.0,4.0,10.0,12.0,25.0,
S_P139,Hiking Boots,Navy,Shoes,106.24,"5,6,7,8,9,10,11,12,13",,,,,,,12.0,25.0,17.0,5.0,24.0,10.0,11.0,23.0,21.0,
S_P140,Hiking Boots,Beige,Shoes,106.24,"5,6,7,8,9,10,11,12,13",,,,,,,24.0,9.0,16.0,6.0,20.0,10.0,23.0,7.0,11.0,
S_P141,Sandals,Black,Shoes,93.12,"5,6,7,8,9,10,11,12,13",,,,,,,7.0,5.0,4.0,8.0,12.0,22.0,21.0,12.0,17.0,
S_P142,Sandals,White,Shoes,93.12,"5,6,7,8,9,10,11,12,13",,,,,,,6.0,17.0,25.0,12.0,25.0,15.0,11.0,19.0,20.0,
S_P143,Sandals,Blue,Shoes,93.12,"5,6,7,8,9,10,11,12,13",,,,,,,18.0,17.0,5.0,22.0,4.0,16.0,13.0,22.0,11.0,
S_P144,Sandals,Brown,Shoes,93.12,"5,6,7,8,9,10,11,12,13",,,,,,,3.0,5.0,10.0,24.0,21.0,21.0,3.0,24.0,11.0,
S_P145,Sandals,Red,Shoes,93.12,"5,6,7,8,9,10,11,12,13",,,,,,,21.0,4.0,8.0,18.0,19.0,23.0,17.0,11.0,8.0,
S_P146,Sandals,Gray,Shoes,93.12,"5,6,7,8,9,10,11,12,13",,,,,,,21.0,16.0,23.0,18.0,5.0,18.0,14.0,16.0,13.0,
S_P147,Sandals,Navy,Shoes,93.12,"5,6,7,8,9,10,11,12,13",,,,,,,13.0,24.0,6.0,8.0,13.0,16.0,25.0,18.0,12.0,
S_P148,Sandals,Beige,Shoes,93.12,"5,6,7,8,9,10,11,12,13",,,,,,,24.0,15.0,20.0,4.0,17.0,5.0,13.0,11.0,13.0,
S_P149,Dress Shoes,Black,Shoes,52.56,"5,6,7,8,9,10,11,12,13",,,,,,,6.0,15.0,19.0,3.0,24.0,20.0,17.0,16.0,4.0,
S_P150,Dress Shoes,White,Shoes,52.56,"5,6,7,8,9,10,11,12,13",,,,,,,9.0,19.0,14.0,22.0,18.0,23.0,17.0,4.0,9.0,
S_P151,Dress Shoes,Blue,Shoes,52.56,"5,6,7,8,9,10,11,12,13",,,,,,,11.0,20.0,7.0,12.0,17.0,25.0,18.0,6.0,3.0,
S_P152,Dress Shoes,Brown,Shoes,52.56,"5,6,7,8,9,10,11,12,13",,,,,,,23.0,22.0,10.0,25.0,8.0,12.0,20.0,3.0,20.0,
S_P153,Dress Shoes,Red,Shoes,52.56,"5,6,7,8,9,10,11,12,13",,,,,,,16.0,5.0,10.0,6.0,17.0,6.0,23.0,7.0,18.0,
S_P154,Dress Shoes,Gray,Shoes,52.56,"5,6,7,8,9,10,11,12,13",,,,,,,25.0,12.0,19.0,25.0,11.0,16.0,18.0,18.0,10.0,
S_P155,Dress Shoes,Navy,Shoes,52.56,"5,6,7,8,9,10,11,12,13",,,,,,,17.0,20.0,7.0,15.0,9.0,22.0,19.0,7.0,5.0,
S_P156,Dress Shoes,Beige,Shoes,52.56,"5,6,7,8,9,10,11,12,13",,,,,,,11.0,16.0,13.0,19.0,11.0,3.0,12.0,12.0,21.0,
S_P157,Canvas Shoes,Black,Shoes,98.66,"5,6,7,8,9,10,11,12,13",,,,,,,21.0,24.0,18.0,7.0,17.0,20.0,18.0,14.0,13.0,
S_P158,Canvas Shoes,White,Shoes,98.66,"5,6,7,8,9,10,11,12,13",,,,,,,20.0,20.0,15.0,17.0,13.0,9.0,25.0,10.0,21.0,
S_P159,Canvas Shoes,Blue,Shoes,98.66,"5,6,7,8,9,10,11,12,13",,,,,,,15.0,10.0,16.0,4.0,13.0,18.0,25.0,15.0,15.0,
S_P160,Canvas Shoes,Brown,Shoes,98.66,"5,6,7,8,9,10,11,12,13",,,,,,,24.0,23.0,7.0,18.0,4.0,7.0,19.0,21.0,13.0,
S_P161,Canvas Shoes,Red,Shoes,98.66,"5,6,7,8,9,10,11,12,13",,,,,,,6.0,17.0,6.0,19.0,17.0,3.0,7.0,16.0,23.0,
S_P162,Canvas Shoes,Gray,Shoes,98.66,"5,6,7,8,9,10,11,12,13",,,,,,,7.0,5.0,18.0,11.0,13.0,22.0,25.0,15.0,23.0,
S_P163,Canvas Shoes,Navy,Shoes,98.66,"5,6,7,8,9,10,11,12,13",,,,,,,5.0,13.0,24.0,20.0,15.0,13.0,23.0,25.0,18.0,
S_P164,Canvas Shoes,Beige,Shoes,98.66,"5,6,7,8,9,10,11,12,13",,,,,,,20.0,4.0,22.0,5.0,10.0,23.0,24.0,12.0,10.0,
S_P165,Slip-ons,Black,Shoes,126.18,"5,6,7,8,9,10,11,12,13",,,,,,,5.0,16.0,6.0,23.0,25.0,6.0,17.0,8.0,25.0,
S_P166,Slip-ons,White,Shoes,126.18,"5,6,7,8,9,10,11,12,13",,,,,,,12.0,3.0,4.0,13.0,4.0,12.0,14.0,14.0,16.0,
S_P167,Slip-ons,Blue,Shoes,126.18,"5,6,7,8,9,10,11,12,13",,,,,,,7.0,10.0,19.0,16.0,21.0,24.0,8.0,8.0,8.0,
S_P168,Slip-ons,Brown,Shoes,126.18,"5,6,7,8,9,10,11,12,13",,,,,,,5.0,22.0,15.0,22.0,24.0,10.0,18.0,21.0,7.0,
S_P169,Slip-ons,Red,Shoes,126.18,"5,6,7,8,9,10,11,12,13",,,,,,,10.0,17.0,23.0,11.0,17.0,11.0,24.0,3.0,17.0,
S_P170,Slip-ons,Gray,Shoes,126.18,"5,6,7,8,9,10,11,12,13",,,,,,,12.0,24.0,20.0,8.0,5.0,17.0,14.0,21.0,12.0,
S_P171,Slip-ons,Navy,Shoes,126.18,"5,6,7,8,9,10,11,12,13",,,,,,,23.0,16.0,25.0,11.0,17.0,12.0,9.0,15.0,18.0,
S_P172,Slip-ons,Beige,Shoes,126.18,"5,6,7,8,9,10,11,12,13",,,,,,,6.0,10.0,15.0,21.0,14.0,21.0,12.0,25.0,12.0,
